question_no,format,category,source_term,difficulty,batch,status,notes
456,single,金融商品・サービス,先物取引,standard,46,done,
457,single,その他法令・業務,STP,standard,46,done,
458,single,その他法令・業務,ミドルオフィス,standard,46,done,
459,single,その他法令・業務,オペレーショナルリスク,standard,46,done,
460,single,勧誘・販売規則,品貸料,standard,46,done,
461,single,金融商品・サービス,有価証券派生商品,standard,47,done,
462,single,金融商品・サービス,オプション取引,standard,47,done,
463,single,金融商品・サービス,コールオプション,standard,47,done,
464,single,金融商品・サービス,プットオプション,standard,47,done,
465,single,勧誘・販売規則,約定,standard,47,done,
466,single,勧誘・販売規則,受渡,standard,47,done,
467,single,勧誘・販売規則,受渡日,standard,47,done,
468,single,その他法令・業務,市場リスク,standard,47,done,
469,single,その他法令・業務,信用リスク,standard,47,done,
470,single,その他法令・業務,流動性リスク,standard,47,done,
471,single,勧誘・販売規則,特別気配,standard,48,done,
472,single,勧誘・販売規則,アルゴリズム取引,standard,48,done,
473,single,勧誘・販売規則,ブロックトレード,standard,48,done,
474,single,勧誘・販売規則,立会外分売,standard,48,done,
475,single,その他法令・業務,内部統制システム,standard,48,done,
476,single,その他法令・業務,モニタリング,standard,48,done,
477,single,金融商品取引法,内部統制報告書,standard,48,done,
478,single,金融商品取引法,不公正取引,standard,48,done,
479,single,金融商品・サービス,スワップ取引,standard,48,done,
480,single,金融商品・サービス,先渡取引,standard,48,done,
481,single,勧誘・販売規則,VWAP,standard,49,done,
482,single,勧誘・販売規則,ハイフリークエンシートレーディング,standard,49,done,
483,single,勧誘・販売規則,ラップ口座,standard,49,done,
484,single,勧誘・販売規則,名義書換,standard,49,done,
485,single,勧誘・販売規則,仲介手数料,standard,49,done,
486,single,その他法令・業務,暗号資産,standard,49,done,
487,single,その他法令・業務,分散投資,standard,49,done,
488,single,その他法令・業務,リスク許容度,standard,49,done,
489,single,その他法令・業務,元本欠損リスク,standard,49,done,
490,single,金融商品取引法,継続開示,standard,49,done,
